Date,Price
07-02-2019,52.63999939
08-02-2019,52.72000122
11-02-2019,52.40999985
12-02-2019,53.09999847
13-02-2019,53.90000153
14-02-2019,54.40999985
15-02-2019,55.59000015
19-02-2019,56.09000015
20-02-2019,56.91999817
21-02-2019,56.95999908
22-02-2019,57.25999832
25-02-2019,55.47999954
26-02-2019,55.5
27-02-2019,56.93999863
28-02-2019,57.22000122
01-03-2019,55.79999924
04-03-2019,56.59000015
05-03-2019,56.56000137
06-03-2019,56.22000122
07-03-2019,56.65999985
08-03-2019,56.06999969
11-03-2019,56.79000092
12-03-2019,56.86999893
13-03-2019,58.25999832
14-03-2019,58.61000061
15-03-2019,58.52000046
18-03-2019,59.09000015
19-03-2019,59.02999878
20-03-2019,59.83000183
21-03-2019,59.97999954
22-03-2019,59.04000092
25-03-2019,58.81999969
26-03-2019,59.93999863
27-03-2019,59.40999985
28-03-2019,59.29999924
29-03-2019,60.13999939
01-04-2019,61.59000015
02-04-2019,62.58000183
03-04-2019,62.45999908
04-04-2019,62.09999847
05-04-2019,63.08000183
08-04-2019,64.40000153
09-04-2019,63.97999954
10-04-2019,64.61000061
11-04-2019,63.58000183
12-04-2019,63.88999939
15-04-2019,63.40000153
16-04-2019,64.05000305
17-04-2019,63.75999832
18-04-2019,64
19-04-2019,64.84999847
22-04-2019,65.69999695
23-04-2019,66.30000305
24-04-2019,65.88999939
25-04-2019,65.20999908
26-04-2019,63.29999924
29-04-2019,63.5
30-04-2019,63.90999985
01-05-2019,63.59999847
02-05-2019,61.81000137
03-05-2019,61.93999863
06-05-2019,62.25
07-05-2019,61.40000153
08-05-2019,62.11999893
09-05-2019,61.70000076
10-05-2019,61.65999985
13-05-2019,61.04000092
14-05-2019,61.77999878
15-05-2019,62.02000046
16-05-2019,62.86999893
17-05-2019,62.75999832
20-05-2019,63.09999847
21-05-2019,62.99000168
22-05-2019,61.41999817
23-05-2019,57.90999985
24-05-2019,58.63000107
28-05-2019,59.13999939
29-05-2019,58.81000137
30-05-2019,56.59000015
31-05-2019,53.5
03-06-2019,53.25
04-06-2019,53.47999954
05-06-2019,51.68000031
06-06-2019,52.59000015
07-06-2019,53.99000168
10-06-2019,53.25999832
11-06-2019,53.27000046
12-06-2019,51.13999939
13-06-2019,52.27999878
14-06-2019,52.50999832
17-06-2019,51.93000031
18-06-2019,53.90000153
19-06-2019,53.75999832
20-06-2019,56.65000153
21-06-2019,57.43000031
24-06-2019,57.90000153
25-06-2019,57.83000183
26-06-2019,59.38000107
27-06-2019,59.43000031
28-06-2019,58.47000122
01-07-2019,59.09000015
02-07-2019,56.25
03-07-2019,57.34000015
05-07-2019,57.50999832
08-07-2019,57.65999985
09-07-2019,57.83000183
10-07-2019,60.43000031
11-07-2019,60.20000076
12-07-2019,60.20999908
15-07-2019,59.58000183
16-07-2019,57.61999893
17-07-2019,56.77999878
18-07-2019,55.29999924
19-07-2019,55.63000107
22-07-2019,56.22000122
23-07-2019,56.77000046
24-07-2019,55.88000107
25-07-2019,56.02000046
26-07-2019,56.20000076
29-07-2019,56.86999893
30-07-2019,58.04999924
31-07-2019,58.58000183
01-08-2019,53.95000076
02-08-2019,55.65999985
05-08-2019,54.68999863
06-08-2019,53.63000107
07-08-2019,51.09000015
